Time,Voltage
0.0008333333333,53.1115
0.001666666667,53.10215714
0.0025,53.10237959
0.003333333333,53.10263382
0.004166666667,53.11226722
0.005,53.11371152
0.005833333333,53.10443037
0.006666666667,53.10468702
0.0075,53.09270413
0.008333333333,53.08970307
0.009166666667,53.09849917
0.01,53.0976152
0.01083333333,53.07651678
0.01166666667,53.05283302
0.0125,53.02450929
0.01333333333,53.01406558
0.01416666667,52.99424398
0.015,52.98587412
0.01583333333,52.98035481
0.01666666667,52.95373899
0.0175,52.94795256
0.01833333333,52.92073519
0.01916666667,52.93401811
0.02,52.93120084
0.02083333333,52.96150773
0.02166666667,52.97823238
0.0225,52.96274871
0.02333333333,52.96725555
0.02416666667,52.92447666
0.025,52.93859727
0.02583333333,52.93514707
0.02666666667,52.91966014
0.0275,52.92987207
0.02833333333,52.90682561
0.02916666667,52.88097969
0.03,52.87545391
0.03083333333,52.87857989
0.03166666667,52.87454478
0.0325,52.88452551
0.03333333333,52.88582145
0.03416666667,52.86505596
0.035,52.85280042
0.03583333333,52.82646826
0.03666666667,52.80708924
0.0375,52.79880827
0.03833333333,52.79109511
0.03916666667,52.7969418
0.04,52.78459217
0.04083333333,52.7716613
0.04166666667,52.75798504
0.0425,52.75241979
0.04333333333,52.78052373
0.04416666667,52.79268979
0.045,52.79764762
0.04583333333,52.79320873
0.04666666667,52.77322088
0.0475,52.7704396
0.04833333333,52.77745275
0.04916666667,52.78610189
0.05,52.77704203
0.05083333333,52.76708524
0.05166666667,52.75470417
0.0525,52.73931878
0.05333333333,52.71212974
0.05416666667,52.70427895
0.055,52.69707535
0.05583333333,52.69104058
0.05666666667,52.72072784
0.0575,52.74487768
0.05833333333,52.75170659
0.05916666667,52.76037316
0.06,52.77693678
0.06083333333,52.77061665
0.06166666667,52.77331808
0.0625,52.77516736
0.06333333333,52.75311458
0.06416666667,52.73971429
0.065,52.73491375
0.06583333333,52.70736323
0.06666666667,52.67902732
0.0675,52.67035776
0.06833333333,52.66113547
0.06916666667,52.67633151
0.07,52.69774639
0.07083333333,52.70165905
0.07166666667,52.68564814
0.0725,52.67607908
0.07333333333,52.67298375
0.07416666667,52.64708728
0.075,52.64157859
0.07583333333,52.62574995
0.07666666667,52.61900226
0.0775,52.63679011
0.07833333333,52.65790605
0.07916666667,52.68429977
0.08,52.69362799
0.08083333333,52.67994769
0.08166666667,52.66129649
0.0825,52.63621031
0.08333333333,52.60620778
0.08416666667,52.60657351
0.085,52.59875594
0.08583333333,52.59340532
0.08666666667,52.5915764
0.0875,52.57853395
0.08833333333,52.5756451
0.08916666667,52.57310792
0.09,52.59226957
0.09083333333,52.6160318
0.09166666667,52.62180133
0.0925,52.62875753
0.09333333333,52.61217009
0.09416666667,52.60071842
0.095,52.59770658
0.09583333333,52.59327073
0.09666666667,52.59057082
0.0975,52.57822116
0.09833333333,52.59723753
0.09916666667,52.59780422
0.1,52.59883756
0.1008333333,52.60178276
0.1016666667,52.56973208
0.1025,52.56572177
0.1033333333,52.56099094
0.1041666667,52.54426354
0.105,52.54062518
0.1058333333,52.53703995
0.1066666667,52.52271838
0.1075,52.5196405
0.1083333333,52.51664269
0.1091666667,52.5137288
0.11,52.51244457
0.1108333333,52.53321658
0.1116666667,52.55738428
0.1125,52.55272078
0.1133333333,52.56937452
0.1141666667,52.55273994
0.115,52.53027646
0.1158333333,52.53797013
0.1166666667,52.52258379
0.1175,52.51827577
0.1183333333,52.51656138
0.1191666667,52.50260299
0.12,52.49974859
0.1208333333,52.49710185
0.1216666667,52.49432192
0.1225,52.50403891
0.1233333333,52.50465181
0.1241666667,52.50573038
0.125,52.50736016
0.1258333333,52.49693462
0.1266666667,52.49583216
0.1275,52.48351813
0.1283333333,52.49101213
0.1291666667,52.49016606
0.13,52.48935662
0.1308333333,52.50109069
0.1316666667,52.49163048
0.1325,52.49183968
0.1333333333,52.49219441
0.1341666667,52.49092351
0.135,52.49082251
0.1358333333,52.4688772
0.1366666667,52.46554618
0.1375,52.46192084
0.1383333333,52.45779203
0.1391666667,52.47800844
0.14,52.47978876
0.1408333333,52.48234132
0.1416666667,52.48584836
0.1425,52.48696835
0.1433333333,52.487994
0.1441666667,52.49970153
0.145,52.50168055
0.1458333333,52.5037823
0.1466666667,52.51693777
0.1475,52.53030009
0.1483333333,52.55618859
0.1491666667,52.56367521
0.15,52.57035198
0.1508333333,52.55427368
0.1516666667,52.54310013
0.1525,52.54016083
0.1533333333,52.52494781
0.1541666667,52.52075839
0.155,52.50666672
0.1558333333,52.50188185
0.1566666667,52.49858671
0.1575,52.49541932
0.1583333333,52.49381255
0.1591666667,52.4926598
0.16,52.4918131
0.1608333333,52.49129792
0.1616666667,52.48003869
0.1625,52.46733567
0.1633333333,52.4638389
0.1641666667,52.45991618
0.165,52.46794154
0.1658333333,52.46802809
0.1666666667,52.46862654
0.1675,52.46987088
0.1683333333,52.4701465
0.1691666667,52.48134913
0.17,52.48316664
0.1708333333,52.48506604
0.1716666667,52.4871974
0.1725,52.48803287
0.1733333333,52.47782804
0.1741666667,52.46589405
0.175,52.45195071
0.1758333333,52.42499611
0.1766666667,52.4283487
0.1775,52.43388507
0.1783333333,52.43130427
0.1791666667,52.43220543
0.18,52.40007068
0.1808333333,52.37344006
0.1816666667,52.36517374
0.1825,52.35559778
0.1833333333,52.36013023
0.1841666667,52.36912882
0.185,52.35879383
0.1858333333,52.37015041
0.1866666667,52.39338187
0.1875,52.40774659
0.1883333333,52.43653984
0.1891666667,52.43512404
0.19,52.43018721
0.1908333333,52.42249301
0.1916666667,52.39868632
0.1925,52.41528094
0.1933333333,52.42405147
0.1941666667,52.4242741
0.195,52.4388295
0.1958333333,52.42039358
0.1966666667,52.41987103
0.1975,52.40834202
0.1983333333,52.40398666
0.1991666667,52.41254281
0.2,52.40059593
0.2008333333,52.41038934
0.2016666667,52.40040401
0.2025,52.36598418
0.2033333333,52.35013965
0.2041666667,52.33063255
0.205,52.3206652
0.2058333333,52.32509106
0.2066666667,52.29972697
0.2075,52.30621189
0.2083333333,52.31504713
0.2091666667,52.324498
0.21,52.36072243
0.2108333333,52.35760965
0.2116666667,52.36369001
0.2125,52.36928887
0.2133333333,52.35961265
